timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,250.35,20.028,160.224,250.35
2026-05-08 01:50,627.827,150.828,137.263,544.673,154.907,24.985,249.85,20.525,159.904,249.85
2026-05-08 02:00,626.661,150.097,136.935,545.545,155.155,25.025,250.25,20.694,160.16,250.25
2026-05-08 02:10,622.552,148.653,135.962,543.91,154.69,24.95,249.5,20.771,159.68,249.5
2026-05-08 02:20,622.666,148.232,135.913,545.872,155.248,25.04,250.4,20.979,160.256,250.4
2026-05-08 02:30,619.197,146.943,135.081,544.782,154.938,24.99,249.9,21.076,159.936,249.9
2026-05-08 02:40,617.647,146.119,134.668,545.327,155.093,25.015,250.15,21.233,160.096,250.15
2026-05-08 02:50,614.242,144.846,133.85,544.292,154.799,24.968,249.675,21.332,159.792,249.675
2026-05-08 03:00,614.1,144.363,133.745,546.035,155.294,25.047,250.475,21.533,160.304,250.475
2026-05-08 03:10,610.119,142.95,132.8,544.51,154.861,24.977,249.775,21.614,159.856,249.775
2026-05-08 03:20,609.209,142.281,132.528,545.6,155.171,25.028,250.275,21.79,160.176,250.275
2026-05-08 03:30,605.228,140.868,131.583,544.073,154.737,24.957,249.575,21.871,159.728,249.575
2026-05-08 03:40,604.574,140.261,131.366,545.381,155.108,25.017,250.175,22.056,160.112,250.175
2026-05-08 03:50,601.169,138.988,130.548,544.346,154.814,24.97,249.7,22.155,159.808,249.7
2026-05-08 04:00,600.707,138.427,130.373,545.817,155.233,25.038,250.375,22.346,160.24,250.375
2026-05-08 04:10,597.238,137.138,129.541,544.728,154.923,24.988,249.875,22.443,159.92,249.875
2026-05-08 04:20,595.944,136.376,129.184,545.49,155.139,25.022,250.225,22.607,160.144,250.225
2026-05-08 04:30,592.539,135.103,128.365,544.455,154.845,24.975,249.75,22.706,159.84,249.75
2026-05-08 04:40,591.821,134.48,128.135,545.709,155.202,25.033,250.325,22.889,160.208,250.325
2026-05-08 04:50,588.352,133.191,127.302,544.618,154.892,24.982,249.825,22.986,159.888,249.825
