timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,644.992,155.217,140.196,553.12,155.217,25.035,253.625,20.168,162.288,250.35
2026-05-08 01:50,644.608,154.907,139.916,553.938,154.907,24.985,253.9,20.168,162.432,249.85
2026-05-08 02:00,646.528,155.155,140.14,556.718,155.155,25.025,255.075,20.24,163.152,250.25
2026-05-08 02:10,645.504,154.69,139.72,556.99,154.69,24.95,255.1,20.22,163.136,249.5
2026-05-08 02:20,648.704,155.248,140.224,560.859,155.248,25.04,256.775,20.332,164.176,250.4
2026-05-08 02:30,648.32,154.938,139.944,561.677,154.938,24.99,257.05,20.332,164.32,249.9
2026-05-08 02:40,649.856,155.093,140.084,564.13,155.093,25.015,258.075,20.392,164.944,250.15
2026-05-08 02:50,649.536,154.799,139.818,565.001,154.799,24.968,258.375,20.394,165.104,249.675
2026-05-08 03:00,652.48,155.294,140.266,568.653,155.294,25.047,259.95,20.498,166.08,250.475
2026-05-08 03:10,651.584,154.861,139.874,569.034,154.861,24.977,260.025,20.482,166.096,249.775
2026-05-08 03:20,653.76,155.171,140.154,572.032,155.171,25.028,261.3,20.562,166.88,250.275
2026-05-08 03:30,652.864,154.737,139.762,572.413,154.737,24.957,261.375,20.546,166.896,249.575
2026-05-08 03:40,655.296,155.108,140.098,575.629,155.108,25.017,262.75,20.634,167.744,250.175
2026-05-08 03:50,654.976,154.814,139.832,576.501,154.814,24.97,263.05,20.636,167.904,249.7
2026-05-08 04:00,657.6,155.233,140.21,579.88,155.233,25.038,264.5,20.73,168.8,250.375
2026-05-08 04:10,657.216,154.923,139.93,580.698,154.923,24.988,264.775,20.73,168.944,249.875
2026-05-08 04:20,659.008,155.139,140.126,583.368,155.139,25.022,265.9,20.798,169.632,250.225
2026-05-08 04:30,658.688,154.845,139.86,584.24,154.845,24.975,266.2,20.8,169.792,249.75
2026-05-08 04:40,661.056,155.202,140.182,587.401,155.202,25.033,267.55,20.886,170.624,250.325
2026-05-08 04:50,660.672,154.892,139.902,588.218,154.892,24.982,267.825,20.886,170.768,249.825
