timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,538.623,153.28,25.035,247.175,20.028,158.24,250.35
2026-05-08 01:50,639.616,154.907,139.916,535.844,152.582,24.985,246.0,19.988,157.536,249.85
2026-05-08 02:00,640.64,155.155,140.14,535.027,152.442,25.025,245.725,20.02,157.408,250.25
2026-05-08 02:10,638.72,154.69,139.72,531.702,151.59,24.95,244.3,19.96,156.544,249.5
2026-05-08 02:20,641.024,155.248,140.224,531.975,151.761,25.04,244.525,20.032,156.736,250.4
2026-05-08 02:30,639.744,154.938,139.944,529.195,151.063,24.99,243.35,19.992,156.032,249.9
2026-05-08 02:40,640.384,155.093,140.084,528.05,150.831,25.015,242.925,20.012,155.808,250.15
2026-05-08 02:50,639.168,154.799,139.818,525.326,150.149,24.968,241.775,19.974,155.12,249.675
2026-05-08 03:00,641.216,155.294,140.266,525.38,150.257,25.047,241.9,20.038,155.248,250.475
2026-05-08 03:10,639.424,154.861,139.874,522.164,149.435,24.977,240.525,19.982,154.416,249.775
2026-05-08 03:20,640.704,155.171,140.154,521.565,149.358,25.028,240.35,20.022,154.352,250.275
2026-05-08 03:30,638.912,154.737,139.762,518.35,148.537,24.957,238.975,19.966,153.52,249.575
2026-05-08 03:40,640.448,155.108,140.098,517.968,148.521,25.017,238.9,20.014,153.52,250.175
2026-05-08 03:50,639.232,154.814,139.832,515.243,147.839,24.97,237.75,19.976,152.832,249.7
2026-05-08 04:00,640.96,155.233,140.21,515.025,147.87,25.038,237.75,20.03,152.88,250.375
2026-05-08 04:10,639.68,154.923,139.93,512.245,147.173,24.988,236.575,19.99,152.176,249.875
2026-05-08 04:20,640.576,155.139,140.126,511.319,147.002,25.022,236.25,20.018,152.016,250.225
2026-05-08 04:30,639.36,154.845,139.86,508.594,146.32,24.975,235.1,19.98,151.328,249.75
2026-05-08 04:40,640.832,155.202,140.182,508.158,146.289,25.033,235.0,20.026,151.312,250.325
2026-05-08 04:50,639.552,154.892,139.902,505.379,145.591,24.982,233.825,19.986,150.608,249.825
