timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,250.35,20.028,160.224,250.35
2026-05-08 01:50,639.616,154.907,139.916,544.673,154.907,24.985,249.85,19.988,159.904,249.85
2026-05-08 02:00,640.64,151.366,137.496,545.545,155.155,24.678,250.25,20.02,160.16,250.25
2026-05-08 02:10,638.72,150.212,136.531,543.91,154.69,24.506,249.5,19.96,159.68,249.5
2026-05-08 02:20,641.024,150.081,136.491,545.872,155.248,24.498,250.4,20.032,160.256,250.4
2026-05-08 02:30,639.744,149.082,135.666,544.782,154.938,24.351,249.9,19.992,159.936,249.9
2026-05-08 02:40,640.384,148.549,135.262,545.327,155.093,24.279,250.15,20.012,160.096,250.15
2026-05-08 02:50,639.168,147.565,134.451,544.292,154.799,24.134,249.675,19.974,159.792,249.675
2026-05-08 03:00,641.216,147.372,134.355,546.035,155.294,24.117,250.475,20.038,160.304,250.475
2026-05-08 03:10,639.424,146.249,133.418,544.51,154.861,23.95,249.775,19.982,159.856,249.775
2026-05-08 03:20,640.704,145.871,133.154,545.6,155.171,23.902,250.275,20.022,160.176,250.275
2026-05-08 03:30,638.912,144.748,132.218,544.073,154.737,23.735,249.575,19.966,159.728,249.575
2026-05-08 03:40,640.448,144.431,132.009,545.381,155.108,23.698,250.175,20.014,160.112,250.175
2026-05-08 03:50,639.232,143.447,131.199,544.346,154.814,23.553,249.7,19.976,159.808,249.7
2026-05-08 04:00,640.96,143.177,131.032,545.817,155.233,23.524,250.375,20.03,160.24,250.375
2026-05-08 04:10,639.68,142.178,130.208,544.728,154.923,23.376,249.875,19.99,159.92,249.875
2026-05-08 04:20,640.576,141.706,129.859,545.49,155.139,23.314,250.225,20.018,160.144,250.225
2026-05-08 04:30,639.36,140.723,129.049,544.455,154.845,23.169,249.75,19.98,159.84,249.75
2026-05-08 04:40,640.832,140.39,128.826,545.709,155.202,23.13,250.325,20.026,160.208,250.325
2026-05-08 04:50,639.552,139.392,128.002,544.618,154.892,22.983,249.825,19.986,159.888,249.825
