timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,254.912,18.228,162.264,228.1
2026-05-08 01:50,639.616,154.907,139.916,544.673,154.907,24.985,255.225,17.388,162.384,217.85
2026-05-08 02:00,640.64,155.155,140.14,545.545,155.155,25.025,256.438,16.62,163.08,208.5
2026-05-08 02:10,638.72,154.69,139.72,543.91,154.69,24.95,256.5,15.76,163.04,198.0
2026-05-08 02:20,641.024,155.248,140.224,545.872,155.248,25.04,258.213,15.032,164.056,189.15
2026-05-08 02:30,639.744,154.938,139.944,544.782,154.938,24.99,258.525,14.192,164.176,178.9
2026-05-08 02:40,640.384,155.093,140.084,545.327,155.093,25.015,259.588,13.412,164.776,169.4
2026-05-08 02:50,639.168,154.799,139.818,544.292,154.799,24.968,259.925,12.574,164.912,159.175
2026-05-08 03:00,641.216,155.294,140.266,546.035,155.294,25.047,261.537,11.838,165.864,150.225
2026-05-08 03:10,639.424,154.861,139.874,544.51,154.861,24.977,261.65,10.982,165.856,139.775
2026-05-08 03:20,640.704,155.171,140.154,545.6,155.171,25.028,262.962,10.222,166.616,130.525
2026-05-08 03:30,638.912,154.737,139.762,544.073,154.737,24.957,263.075,9.366,166.608,120.075
2026-05-08 03:40,640.448,155.108,140.098,545.381,155.108,25.017,264.488,8.614,167.432,110.925
2026-05-08 03:50,639.232,154.814,139.832,544.346,154.814,24.97,264.825,7.776,167.568,100.7
2026-05-08 04:00,640.96,155.233,140.21,545.817,155.233,25.038,266.312,7.03,168.44,91.625
2026-05-08 04:10,639.68,154.923,139.93,544.728,154.923,24.988,266.625,6.19,168.56,81.375
2026-05-08 04:20,640.576,155.139,140.126,545.49,155.139,25.022,267.788,5.418,169.224,71.975
2026-05-08 04:30,639.36,154.845,139.86,544.455,154.845,24.975,268.125,4.58,169.36,61.75
2026-05-08 04:40,640.832,155.202,140.182,545.709,155.202,25.033,269.512,3.826,170.168,52.575
2026-05-08 04:50,639.552,154.892,139.902,544.618,154.892,24.982,269.825,2.986,170.288,42.325
