timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,247.225,18.808,158.264,236.625
2026-05-08 01:50,639.616,154.907,139.916,544.673,154.907,24.985,253.6,18.348,162.224,231.4
2026-05-08 02:00,640.64,155.155,140.14,545.545,155.155,25.025,245.875,17.96,157.48,227.075
2026-05-08 02:10,638.72,154.69,139.72,543.91,154.69,24.95,254.5,17.48,162.72,221.6
2026-05-08 02:20,641.024,155.248,140.224,545.872,155.248,25.04,244.775,17.132,156.856,217.775
2026-05-08 02:30,639.744,154.938,139.944,544.782,154.938,24.99,256.15,16.672,163.696,212.55
2026-05-08 02:40,640.384,155.093,140.084,545.327,155.093,25.015,243.275,16.272,155.976,208.075
2026-05-08 02:50,639.168,154.799,139.818,544.292,154.799,24.968,257.175,15.814,164.272,202.875
2026-05-08 03:00,641.216,155.294,140.266,546.035,155.294,25.047,242.35,15.458,155.464,198.95
2026-05-08 03:10,639.424,154.861,139.874,544.51,154.861,24.977,258.525,14.982,165.056,193.525
2026-05-08 03:20,640.704,155.171,140.154,545.6,155.171,25.028,240.9,14.602,154.616,189.3
2026-05-08 03:30,638.912,154.737,139.762,544.073,154.737,24.957,259.575,14.126,165.648,183.875
2026-05-08 03:40,640.448,155.108,140.098,545.381,155.108,25.017,239.55,13.754,153.832,179.75
2026-05-08 03:50,639.232,154.814,139.832,544.346,154.814,24.97,260.95,13.296,166.448,174.55
2026-05-08 04:00,640.96,155.233,140.21,545.817,155.233,25.038,238.5,12.93,153.24,170.5
2026-05-08 04:10,639.68,154.923,139.93,544.728,154.923,24.988,262.375,12.47,167.28,165.275
2026-05-08 04:20,640.576,155.139,140.126,545.49,155.139,25.022,237.1,12.078,152.424,160.9
2026-05-08 04:30,639.36,154.845,139.86,544.455,154.845,24.975,263.5,11.62,167.92,155.7
2026-05-08 04:40,640.832,155.202,140.182,545.709,155.202,25.033,235.95,11.246,151.768,151.55
2026-05-08 04:50,639.552,154.892,139.902,544.618,154.892,24.982,264.825,10.786,168.688,146.325
