timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,624.256,152.315,137.866,535.561,155.217,25.035,247.88,20.522,160.224,255.42
2026-05-08 01:50,660.096,158.478,142.783,557.23,154.907,24.985,252.89,19.38,159.904,243.61
2026-05-08 02:00,616.32,150.914,136.735,530.634,155.155,25.025,246.64,20.742,160.16,257.66
2026-05-08 02:10,666.88,159.6,143.662,561.176,154.69,24.95,253.68,19.124,159.68,240.92
2026-05-08 02:20,609.024,149.668,135.744,526.252,155.248,25.04,245.65,20.982,160.256,260.15
2026-05-08 02:30,675.584,161.188,144.962,566.756,154.938,24.99,255.22,18.928,159.936,238.98
2026-05-08 02:40,600.704,148.174,134.529,520.998,155.093,25.015,244.26,21.19,160.096,262.24
2026-05-08 02:50,682.688,162.387,145.911,570.975,154.799,24.968,256.135,18.682,159.792,236.415
2026-05-08 03:00,593.856,147.036,133.636,516.998,155.294,25.047,243.445,21.444,160.304,264.905
2026-05-08 03:10,690.624,163.788,147.042,575.901,154.861,24.977,257.375,18.462,159.856,234.175
2026-05-08 03:20,585.664,145.573,132.448,511.853,155.171,25.028,242.105,21.656,160.176,267.045
2026-05-08 03:30,697.792,165.004,148.005,580.174,154.737,24.957,258.315,18.218,159.728,231.635
2026-05-08 03:40,577.728,144.172,131.317,506.926,155.108,25.017,240.865,21.876,160.112,269.285
2026-05-08 03:50,705.792,166.42,149.15,585.156,154.814,24.97,259.58,18.0,159.808,229.42
2026-05-08 04:00,570.56,142.957,130.354,502.654,155.233,25.038,239.925,22.12,160.24,271.825
2026-05-08 04:10,713.92,167.868,150.324,590.246,154.923,24.988,260.895,17.786,159.92,227.255
2026-05-08 04:20,562.496,141.524,129.195,497.618,155.139,25.022,238.635,22.336,160.144,274.015
2026-05-08 04:30,721.28,169.13,151.329,594.682,154.845,24.975,261.91,17.548,159.84,224.79
2026-05-08 04:40,555.072,140.247,128.176,493.127,155.202,25.033,237.595,22.572,160.208,276.455
2026-05-08 04:50,729.152,170.516,152.446,599.555,154.892,24.982,263.125,17.326,159.888,222.525
