timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,250.35,20.028,160.224,250.35
2026-05-08 01:50,668.416,157.64,141.625,551.127,154.907,24.985,249.85,19.535,159.904,246.824
2026-05-08 02:00,608.64,152.014,138.121,538.087,155.155,25.025,250.25,20.525,160.16,253.803
2026-05-08 02:10,673.92,158.239,142.048,552.372,154.69,24.95,249.5,19.402,159.68,245.421
2026-05-08 02:20,679.424,159.205,142.862,555.338,155.248,25.04,250.4,19.421,160.256,245.795
2026-05-08 02:30,598.144,150.574,136.997,534.312,154.938,24.99,249.9,20.655,159.936,255.032
2026-05-08 02:40,685.184,159.865,143.341,556.801,155.093,25.015,250.15,19.296,160.096,244.492
2026-05-08 02:50,687.168,159.979,143.384,556.769,154.799,24.968,249.675,19.206,159.792,243.491
2026-05-08 03:00,590.016,149.706,136.39,532.554,155.294,25.047,250.475,20.859,160.304,257.186
2026-05-08 03:10,693.824,160.857,144.059,558.995,154.861,24.977,249.775,19.108,159.856,242.538
2026-05-08 03:20,698.304,161.574,144.649,561.089,155.171,25.028,250.275,19.096,160.176,242.512
2026-05-08 03:30,578.112,147.925,134.958,527.58,154.737,24.957,249.575,20.945,159.728,257.864
2026-05-08 03:40,704.448,162.328,145.212,562.879,155.108,25.017,250.175,18.982,160.112,241.359
2026-05-08 03:50,706.432,162.442,145.255,562.847,154.814,24.97,249.7,18.892,159.808,240.358
2026-05-08 04:00,570.56,147.197,134.477,526.312,155.233,25.038,250.375,21.167,160.24,260.243
2026-05-08 04:10,713.28,163.366,145.972,565.237,154.923,24.988,249.875,18.801,159.92,239.48
2026-05-08 04:20,717.376,163.991,146.478,567.004,155.139,25.022,250.225,18.776,160.144,239.304
2026-05-08 04:30,559.36,145.586,133.199,521.938,154.845,24.975,249.75,21.275,159.84,261.197
2026-05-08 04:40,724.032,164.869,147.153,569.23,155.202,25.033,250.325,18.679,160.208,238.351
2026-05-08 04:50,725.952,164.966,147.182,569.144,154.892,24.982,249.825,18.586,159.888,237.325
