timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,155.217,140.196,545.763,155.217,25.035,250.35,20.028,160.224,250.35
2026-05-08 01:50,639.616,152.908,138.148,544.673,154.907,24.985,249.85,19.988,162.051,261.692
2026-05-08 02:00,640.64,152.708,138.003,545.545,155.155,25.025,250.25,20.02,162.855,263.934
2026-05-08 02:10,638.72,151.794,137.215,543.91,154.69,24.95,249.5,19.96,162.922,265.026
2026-05-08 02:20,641.024,151.903,137.35,545.872,155.248,25.04,250.4,20.032,164.045,267.768
2026-05-08 02:30,639.744,151.145,136.702,544.782,154.938,24.99,249.9,19.992,164.273,269.111
2026-05-08 02:40,640.384,150.851,136.473,545.327,155.093,25.015,250.15,20.012,164.98,271.203
2026-05-08 02:50,639.168,150.108,135.839,544.292,154.799,24.968,249.675,19.974,165.224,272.57
2026-05-08 03:00,641.216,150.155,135.919,546.035,155.294,25.047,250.475,20.038,166.283,275.212
2026-05-08 03:10,639.424,149.272,135.158,544.51,154.861,24.977,249.775,19.982,166.382,276.354
2026-05-08 03:20,640.704,149.134,135.07,545.6,155.171,25.028,250.275,20.022,167.25,278.696
2026-05-08 03:30,638.912,148.251,134.309,544.073,154.737,24.957,249.575,19.966,167.349,279.838
2026-05-08 03:40,640.448,148.174,134.277,545.381,155.108,25.017,250.175,20.014,168.28,282.28
2026-05-08 03:50,639.232,147.431,133.643,544.346,154.814,24.97,249.7,19.976,168.524,283.647
2026-05-08 04:00,640.96,147.401,133.652,545.817,155.233,25.038,250.375,20.03,169.503,286.164
2026-05-08 04:10,639.68,146.642,133.004,544.728,154.923,24.988,249.875,19.99,169.731,287.507
2026-05-08 04:20,640.576,146.411,132.831,545.49,155.139,25.022,250.225,20.018,170.502,289.699
2026-05-08 04:30,639.36,145.667,132.197,544.455,154.845,24.975,249.75,19.98,170.745,291.066
2026-05-08 04:40,640.832,145.575,132.15,545.709,155.202,25.033,250.325,20.026,171.661,293.483
2026-05-08 04:50,639.552,144.816,131.502,544.618,154.892,24.982,249.825,19.986,171.888,294.825
