timestamp,Производительность котла,Давление в барабане,Давление в паросборной камере,Температура перегретого пара,Температура питательной воды,Давление на низкой стороне РОУ,Температура после РОУ,Расход РОУ,Температура после БРОУ,Расход БРОУ
2026-05-08 00:00,638.4,154.613,139.65,543.638,154.613,24.938,249.375,19.95,159.6,249.375
2026-05-08 00:10,640.768,155.186,140.168,545.654,155.186,25.03,250.3,20.024,160.192,250.3
2026-05-08 00:20,639.488,154.876,139.888,544.564,154.876,24.98,249.8,19.984,159.872,249.8
2026-05-08 00:30,641.152,155.279,140.252,545.981,155.279,25.045,250.45,20.036,160.288,250.45
2026-05-08 00:40,639.04,154.768,139.79,544.183,154.768,24.963,249.625,19.97,159.76,249.625
2026-05-08 00:50,640.32,155.077,140.07,545.272,155.077,25.012,250.125,20.01,160.08,250.125
2026-05-08 01:00,641.408,155.341,140.308,546.199,155.341,25.055,250.55,20.044,160.352,250.55
2026-05-08 01:10,638.848,154.721,139.748,544.019,154.721,24.955,249.55,19.964,159.712,249.55
2026-05-08 01:20,640.512,155.124,140.112,545.436,155.124,25.02,250.2,20.016,160.128,250.2
2026-05-08 01:30,639.296,154.829,139.846,544.4,154.829,24.973,249.725,19.978,159.824,249.725
2026-05-08 01:40,640.896,157.348,142.086,553.066,155.217,25.035,253.575,20.028,162.224,250.35
2026-05-08 01:50,639.616,157.619,142.296,553.829,154.907,24.985,253.8,19.988,162.304,249.85
2026-05-08 02:00,640.64,158.449,143.01,556.554,155.155,25.025,254.925,20.02,162.96,250.25
2026-05-08 02:10,638.72,158.565,143.08,556.772,154.69,24.95,254.9,19.96,162.88,249.5
2026-05-08 02:20,641.024,159.704,144.074,560.587,155.248,25.04,256.525,20.032,163.856,250.4
2026-05-08 02:30,639.744,159.976,144.284,561.35,154.938,24.99,256.75,19.992,163.936,249.9
2026-05-08 02:40,640.384,160.712,144.914,563.748,155.093,25.015,257.725,20.012,164.496,250.15
2026-05-08 02:50,639.168,160.999,145.138,564.566,154.799,24.968,257.975,19.974,164.592,249.675
2026-05-08 03:00,641.216,162.076,146.076,568.163,155.294,25.047,259.5,20.038,165.504,250.475
2026-05-08 03:10,639.424,162.223,146.174,568.489,154.861,24.977,259.525,19.982,165.456,249.775
2026-05-08 03:20,640.704,163.114,146.944,571.433,155.171,25.028,260.75,20.022,166.176,250.275
2026-05-08 03:30,638.912,163.261,147.042,571.76,154.737,24.957,260.775,19.966,166.128,249.575
2026-05-08 03:40,640.448,164.215,147.868,574.92,155.108,25.017,262.1,20.014,166.912,250.175
2026-05-08 03:50,639.232,164.501,148.092,575.738,154.814,24.97,262.35,19.976,167.008,249.7
2026-05-08 04:00,640.96,165.501,148.96,579.062,155.233,25.038,263.75,20.03,167.84,250.375
2026-05-08 04:10,639.68,165.773,149.17,579.826,154.923,24.988,263.975,19.99,167.92,249.875
2026-05-08 04:20,640.576,166.571,149.856,582.442,155.139,25.022,265.05,20.018,168.544,250.225
2026-05-08 04:30,639.36,166.858,150.08,583.259,154.845,24.975,265.3,19.98,168.64,249.75
2026-05-08 04:40,640.832,167.795,150.892,586.365,155.202,25.033,266.6,20.026,169.408,250.325
2026-05-08 04:50,639.552,168.067,151.102,587.128,154.892,24.982,266.825,19.986,169.488,249.825
